combo,size,occurrences,window_days,cooldown_days,depression_rate,crash_rate,avg_fwd_90,avg_depression_score,best_individual_depression_rate,improvement_pp,classification
SUGAR_CRASH + INTERBANK_STRESS + FLASH_MOVE,3,10,30,30,60.0,10.0,4.242837698500972,2.6,33.33333333333333,26.66666666666667,STRONG
SUGAR_CRASH + INTERBANK_STRESS,2,8,30,30,50.0,12.5,3.874705811875378,2.375,33.33333333333333,16.66666666666667,STRONG
SUGAR_CRASH + LABOUR_SHOCK,2,5,30,30,40.0,40.0,-4.125833042032128,1.4,14.285714285714285,25.714285714285715,STRONG
SUGAR_CRASH + LABOUR_SHOCK + FLASH_MOVE,3,6,30,30,33.33333333333333,33.33333333333333,-2.5388483075985513,1.3333333333333333,14.285714285714285,19.047619047619044,STRONG
INTERBANK_STRESS + FLASH_MOVE,2,27,30,30,29.629629629629626,16.666666666666664,4.468466435397471,1.7407407407407407,33.33333333333333,-3.7037037037037024,TRIVIAL
SOLVENCY_DEATH + INTERBANK_STRESS,2,4,30,30,25.0,25.0,12.053042933186813,1.75,33.33333333333333,-8.333333333333329,TRIVIAL
SOLVENCY_DEATH + INTERBANK_STRESS + FLASH_MOVE,3,4,30,30,25.0,25.0,12.634370968103056,1.75,33.33333333333333,-8.333333333333329,TRIVIAL
LABOUR_SHOCK + FLASH_MOVE,2,12,30,30,16.666666666666664,25.0,3.405845613362643,1.5,14.285714285714285,2.3809523809523796,TRIVIAL
SUGAR_CRASH + FLASH_MOVE,2,62,30,30,12.903225806451612,25.806451612903224,1.9585869200570143,0.8387096774193549,11.904761904761903,0.9984639016897088,TRIVIAL
SOLVENCY_DEATH + FLASH_MOVE,2,41,30,30,2.4390243902439024,19.51219512195122,5.491515443748743,0.5365853658536586,8.333333333333332,-5.894308943089429,TRIVIAL
EM_CURRENCY_STRESS + FLASH_MOVE,2,37,30,30,0.0,48.64864864864865,-0.09945077926782314,0.5135135135135135,8.333333333333332,-8.333333333333332,TRIVIAL
BOND_FREEZE + FLASH_MOVE,2,33,30,30,0.0,33.33333333333333,1.6272846795737492,0.2727272727272727,8.333333333333332,-8.333333333333332,TRIVIAL
EM_CURRENCY_STRESS + BOND_FREEZE + FLASH_MOVE,3,21,30,30,0.0,38.095238095238095,0.7400776493384406,0.3333333333333333,8.333333333333332,-8.333333333333332,TRIVIAL
EM_CURRENCY_STRESS + BOND_FREEZE,2,18,30,30,0.0,44.44444444444444,-0.4115909827702607,0.3333333333333333,0.0,0.0,TRIVIAL
SUGAR_CRASH + EM_CURRENCY_STRESS + FLASH_MOVE,3,15,30,30,0.0,33.33333333333333,1.4217826424142215,0.8,11.904761904761903,-11.904761904761903,TRIVIAL
SUGAR_CRASH + EM_CURRENCY_STRESS,2,13,30,30,0.0,30.76923076923077,1.5704692314829811,0.7692307692307693,11.904761904761903,-11.904761904761903,TRIVIAL
SOLVENCY_DEATH + EM_CURRENCY_STRESS + FLASH_MOVE,3,12,30,30,0.0,25.0,3.933909034555659,0.25,8.333333333333332,-8.333333333333332,TRIVIAL
SOLVENCY_DEATH + EM_CURRENCY_STRESS,2,11,30,30,0.0,27.27272727272727,3.6984566139855706,0.2727272727272727,2.941176470588235,-2.941176470588235,TRIVIAL
SUGAR_CRASH + BOND_FREEZE,2,11,30,30,0.0,27.27272727272727,1.6104984627358017,0.36363636363636365,11.904761904761903,-11.904761904761903,TRIVIAL
SUGAR_CRASH + BOND_FREEZE + FLASH_MOVE,3,11,30,30,0.0,27.27272727272727,1.6104984627358017,0.36363636363636365,11.904761904761903,-11.904761904761903,TRIVIAL
SOLVENCY_DEATH + SUGAR_CRASH,2,10,30,30,0.0,40.0,2.0582950242529776,0.2,11.904761904761903,-11.904761904761903,TRIVIAL
SOLVENCY_DEATH + SUGAR_CRASH + FLASH_MOVE,3,10,30,30,0.0,40.0,2.201748546827344,0.2,11.904761904761903,-11.904761904761903,TRIVIAL
SOLVENCY_DEATH + BOND_FREEZE + FLASH_MOVE,3,8,30,30,0.0,12.5,5.09800015180379,0.125,8.333333333333332,-8.333333333333332,TRIVIAL
SOLVENCY_DEATH + BOND_FREEZE,2,7,30,30,0.0,14.285714285714285,4.894302221943385,0.14285714285714285,2.941176470588235,-2.941176470588235,TRIVIAL
WAR_PROTOCOL + FLASH_MOVE,2,6,30,30,0.0,50.0,-0.5772935764732248,0.16666666666666666,8.333333333333332,-8.333333333333332,TRIVIAL
SUGAR_CRASH + EM_CURRENCY_STRESS + BOND_FREEZE,3,6,30,30,0.0,16.666666666666664,2.5374819398058635,0.5,11.904761904761903,-11.904761904761903,TRIVIAL
SOLVENCY_DEATH + EM_CURRENCY_STRESS + BOND_FREEZE + FLASH_MOVE,4,6,30,30,0.0,0.0,5.601416737578725,0.0,8.333333333333332,-8.333333333333332,TRIVIAL
SUGAR_CRASH + EM_CURRENCY_STRESS + BOND_FREEZE + FLASH_MOVE,4,6,30,30,0.0,16.666666666666664,2.5374819398058635,0.5,11.904761904761903,-11.904761904761903,TRIVIAL
BOND_FREEZE + WAR_PROTOCOL,2,5,30,30,0.0,60.0,-1.0946175019119404,0.2,0.0,0.0,TRIVIAL
SOLVENCY_DEATH + EM_CURRENCY_STRESS + BOND_FREEZE,3,5,30,30,0.0,0.0,5.416922952929145,0.0,2.941176470588235,-2.941176470588235,TRIVIAL
EM_CURRENCY_STRESS + INTERBANK_STRESS + FLASH_MOVE,3,5,30,30,0.0,40.0,0.8445723430686918,1.4,33.33333333333333,-33.33333333333333,TRIVIAL
BOND_FREEZE + WAR_PROTOCOL + FLASH_MOVE,3,5,30,30,0.0,60.0,-1.0946175019119404,0.2,8.333333333333332,-8.333333333333332,TRIVIAL
EM_CURRENCY_STRESS + WAR_PROTOCOL,2,4,30,30,0.0,75.0,-4.344468886642903,0.25,0.0,0.0,TRIVIAL
EM_CURRENCY_STRESS + INTERBANK_STRESS,2,4,30,30,0.0,25.0,3.08102796261581,1.5,33.33333333333333,-33.33333333333333,TRIVIAL
EM_CURRENCY_STRESS + BOND_FREEZE + WAR_PROTOCOL,3,4,30,30,0.0,75.0,-4.344468886642903,0.25,0.0,0.0,TRIVIAL
EM_CURRENCY_STRESS + WAR_PROTOCOL + FLASH_MOVE,3,4,30,30,0.0,75.0,-4.344468886642903,0.25,8.333333333333332,-8.333333333333332,TRIVIAL
EM_CURRENCY_STRESS + BOND_FREEZE + WAR_PROTOCOL + FLASH_MOVE,4,4,30,30,0.0,75.0,-4.344468886642903,0.25,8.333333333333332,-8.333333333333332,TRIVIAL
SOLVENCY_DEATH + LABOUR_SHOCK,2,3,30,30,0.0,0.0,15.330360362031096,2.0,14.285714285714285,-14.285714285714285,TRIVIAL
SOLVENCY_DEATH + SUGAR_CRASH + EM_CURRENCY_STRESS,3,3,30,30,0.0,0.0,6.700543250975236,0.0,11.904761904761903,-11.904761904761903,TRIVIAL
SOLVENCY_DEATH + SUGAR_CRASH + BOND_FREEZE,3,3,30,30,0.0,0.0,6.700543250975236,0.0,11.904761904761903,-11.904761904761903,TRIVIAL
SOLVENCY_DEATH + LABOUR_SHOCK + FLASH_MOVE,3,3,30,30,0.0,0.0,15.330360362031096,2.0,14.285714285714285,-14.285714285714285,TRIVIAL
SUGAR_CRASH + EM_CURRENCY_STRESS + INTERBANK_STRESS,3,3,30,30,0.0,33.33333333333333,3.174538252627503,1.6666666666666667,33.33333333333333,-33.33333333333333,TRIVIAL
SOLVENCY_DEATH + SUGAR_CRASH + EM_CURRENCY_STRESS + BOND_FREEZE,4,3,30,30,0.0,0.0,6.700543250975236,0.0,11.904761904761903,-11.904761904761903,TRIVIAL
SOLVENCY_DEATH + SUGAR_CRASH + EM_CURRENCY_STRESS + FLASH_MOVE,4,3,30,30,0.0,0.0,6.700543250975236,0.0,11.904761904761903,-11.904761904761903,TRIVIAL
SOLVENCY_DEATH + SUGAR_CRASH + BOND_FREEZE + FLASH_MOVE,4,3,30,30,0.0,0.0,6.700543250975236,0.0,11.904761904761903,-11.904761904761903,TRIVIAL
SUGAR_CRASH + EM_CURRENCY_STRESS + INTERBANK_STRESS + FLASH_MOVE,4,3,30,30,0.0,33.33333333333333,3.174538252627503,1.6666666666666667,33.33333333333333,-33.33333333333333,TRIVIAL
LABOUR_SHOCK + INTERBANK_STRESS,2,2,30,30,0.0,0.0,12.734492172727013,1.5,33.33333333333333,-33.33333333333333,TRIVIAL
LABOUR_SHOCK + INTERBANK_STRESS + FLASH_MOVE,3,2,30,30,0.0,0.0,12.734492172727013,1.5,33.33333333333333,-33.33333333333333,TRIVIAL
SUGAR_CRASH + WAR_PROTOCOL,2,1,30,30,0.0,0.0,10.03238685706556,0.0,11.904761904761903,-11.904761904761903,TRIVIAL
BOND_FREEZE + LABOUR_SHOCK,2,1,30,30,0.0,100.0,-8.956398083332347,1.0,14.285714285714285,-14.285714285714285,TRIVIAL
BOND_FREEZE + INTERBANK_STRESS,2,1,30,30,0.0,100.0,-9.593039186752092,1.0,33.33333333333333,-33.33333333333333,TRIVIAL
SOLVENCY_DEATH + EM_CURRENCY_STRESS + INTERBANK_STRESS,3,1,30,30,0.0,0.0,15.893678986542978,1.0,33.33333333333333,-33.33333333333333,TRIVIAL
SOLVENCY_DEATH + LABOUR_SHOCK + INTERBANK_STRESS,3,1,30,30,0.0,0.0,18.39801703404109,2.0,33.33333333333333,-33.33333333333333,TRIVIAL
SUGAR_CRASH + BOND_FREEZE + WAR_PROTOCOL,3,1,30,30,0.0,0.0,11.904788037011912,0.0,11.904761904761903,-11.904761904761903,TRIVIAL
SUGAR_CRASH + WAR_PROTOCOL + FLASH_MOVE,3,1,30,30,0.0,0.0,10.03238685706556,0.0,11.904761904761903,-11.904761904761903,TRIVIAL
EM_CURRENCY_STRESS + BOND_FREEZE + INTERBANK_STRESS,3,1,30,30,0.0,100.0,-9.593039186752092,1.0,33.33333333333333,-33.33333333333333,TRIVIAL
BOND_FREEZE + LABOUR_SHOCK + FLASH_MOVE,3,1,30,30,0.0,100.0,-8.956398083332347,1.0,14.285714285714285,-14.285714285714285,TRIVIAL
BOND_FREEZE + INTERBANK_STRESS + FLASH_MOVE,3,1,30,30,0.0,100.0,-9.593039186752092,1.0,33.33333333333333,-33.33333333333333,TRIVIAL
SOLVENCY_DEATH + EM_CURRENCY_STRESS + INTERBANK_STRESS + FLASH_MOVE,4,1,30,30,0.0,0.0,15.893678986542978,1.0,33.33333333333333,-33.33333333333333,TRIVIAL
SOLVENCY_DEATH + LABOUR_SHOCK + INTERBANK_STRESS + FLASH_MOVE,4,1,30,30,0.0,0.0,18.39801703404109,2.0,33.33333333333333,-33.33333333333333,TRIVIAL
SUGAR_CRASH + BOND_FREEZE + WAR_PROTOCOL + FLASH_MOVE,4,1,30,30,0.0,0.0,11.904788037011912,0.0,11.904761904761903,-11.904761904761903,TRIVIAL
EM_CURRENCY_STRESS + BOND_FREEZE + INTERBANK_STRESS + FLASH_MOVE,4,1,30,30,0.0,100.0,-9.593039186752092,1.0,33.33333333333333,-33.33333333333333,TRIVIAL
SOLVENCY_DEATH + WAR_PROTOCOL,2,0,30,30,,,,,2.941176470588235,,TRIVIAL
SOLVENCY_DEATH + HOUSING_BUST,2,0,30,30,,,,,2.941176470588235,,TRIVIAL
SUGAR_CRASH + HOUSING_BUST,2,0,30,30,,,,,11.904761904761903,,TRIVIAL
EM_CURRENCY_STRESS + HOUSING_BUST,2,0,30,30,,,,,0.0,,TRIVIAL
EM_CURRENCY_STRESS + LABOUR_SHOCK,2,0,30,30,,,,,14.285714285714285,,TRIVIAL
BOND_FREEZE + HOUSING_BUST,2,0,30,30,,,,,0.0,,TRIVIAL
WAR_PROTOCOL + HOUSING_BUST,2,0,30,30,,,,,0.0,,TRIVIAL
WAR_PROTOCOL + LABOUR_SHOCK,2,0,30,30,,,,,14.285714285714285,,TRIVIAL
WAR_PROTOCOL + INTERBANK_STRESS,2,0,30,30,,,,,33.33333333333333,,TRIVIAL
HOUSING_BUST + LABOUR_SHOCK,2,0,30,30,,,,,14.285714285714285,,TRIVIAL
HOUSING_BUST + INTERBANK_STRESS,2,0,30,30,,,,,33.33333333333333,,TRIVIAL
HOUSING_BUST + FLASH_MOVE,2,0,30,30,,,,,8.333333333333332,,TRIVIAL
SOLVENCY_DEATH + SUGAR_CRASH + WAR_PROTOCOL,3,0,30,30,,,,,11.904761904761903,,TRIVIAL
SOLVENCY_DEATH + SUGAR_CRASH + HOUSING_BUST,3,0,30,30,,,,,11.904761904761903,,TRIVIAL
SOLVENCY_DEATH + SUGAR_CRASH + LABOUR_SHOCK,3,0,30,30,,,,,14.285714285714285,,TRIVIAL
SOLVENCY_DEATH + SUGAR_CRASH + INTERBANK_STRESS,3,0,30,30,,,,,33.33333333333333,,TRIVIAL
SOLVENCY_DEATH + EM_CURRENCY_STRESS + WAR_PROTOCOL,3,0,30,30,,,,,2.941176470588235,,TRIVIAL
SOLVENCY_DEATH + EM_CURRENCY_STRESS + HOUSING_BUST,3,0,30,30,,,,,2.941176470588235,,TRIVIAL
SOLVENCY_DEATH + EM_CURRENCY_STRESS + LABOUR_SHOCK,3,0,30,30,,,,,14.285714285714285,,TRIVIAL
SOLVENCY_DEATH + BOND_FREEZE + WAR_PROTOCOL,3,0,30,30,,,,,2.941176470588235,,TRIVIAL
SOLVENCY_DEATH + BOND_FREEZE + HOUSING_BUST,3,0,30,30,,,,,2.941176470588235,,TRIVIAL
SOLVENCY_DEATH + BOND_FREEZE + LABOUR_SHOCK,3,0,30,30,,,,,14.285714285714285,,TRIVIAL
SOLVENCY_DEATH + BOND_FREEZE + INTERBANK_STRESS,3,0,30,30,,,,,33.33333333333333,,TRIVIAL
SOLVENCY_DEATH + WAR_PROTOCOL + HOUSING_BUST,3,0,30,30,,,,,2.941176470588235,,TRIVIAL
SOLVENCY_DEATH + WAR_PROTOCOL + LABOUR_SHOCK,3,0,30,30,,,,,14.285714285714285,,TRIVIAL
SOLVENCY_DEATH + WAR_PROTOCOL + INTERBANK_STRESS,3,0,30,30,,,,,33.33333333333333,,TRIVIAL
SOLVENCY_DEATH + WAR_PROTOCOL + FLASH_MOVE,3,0,30,30,,,,,8.333333333333332,,TRIVIAL
SOLVENCY_DEATH + HOUSING_BUST + LABOUR_SHOCK,3,0,30,30,,,,,14.285714285714285,,TRIVIAL
SOLVENCY_DEATH + HOUSING_BUST + INTERBANK_STRESS,3,0,30,30,,,,,33.33333333333333,,TRIVIAL
SOLVENCY_DEATH + HOUSING_BUST + FLASH_MOVE,3,0,30,30,,,,,8.333333333333332,,TRIVIAL
SUGAR_CRASH + EM_CURRENCY_STRESS + WAR_PROTOCOL,3,0,30,30,,,,,11.904761904761903,,TRIVIAL
SUGAR_CRASH + EM_CURRENCY_STRESS + HOUSING_BUST,3,0,30,30,,,,,11.904761904761903,,TRIVIAL
SUGAR_CRASH + EM_CURRENCY_STRESS + LABOUR_SHOCK,3,0,30,30,,,,,14.285714285714285,,TRIVIAL
SUGAR_CRASH + BOND_FREEZE + HOUSING_BUST,3,0,30,30,,,,,11.904761904761903,,TRIVIAL
SUGAR_CRASH + BOND_FREEZE + LABOUR_SHOCK,3,0,30,30,,,,,14.285714285714285,,TRIVIAL
SUGAR_CRASH + BOND_FREEZE + INTERBANK_STRESS,3,0,30,30,,,,,33.33333333333333,,TRIVIAL
SUGAR_CRASH + WAR_PROTOCOL + HOUSING_BUST,3,0,30,30,,,,,11.904761904761903,,TRIVIAL
SUGAR_CRASH + WAR_PROTOCOL + LABOUR_SHOCK,3,0,30,30,,,,,14.285714285714285,,TRIVIAL
SUGAR_CRASH + WAR_PROTOCOL + INTERBANK_STRESS,3,0,30,30,,,,,33.33333333333333,,TRIVIAL
SUGAR_CRASH + HOUSING_BUST + LABOUR_SHOCK,3,0,30,30,,,,,14.285714285714285,,TRIVIAL
SUGAR_CRASH + HOUSING_BUST + INTERBANK_STRESS,3,0,30,30,,,,,33.33333333333333,,TRIVIAL
SUGAR_CRASH + HOUSING_BUST + FLASH_MOVE,3,0,30,30,,,,,11.904761904761903,,TRIVIAL
SUGAR_CRASH + LABOUR_SHOCK + INTERBANK_STRESS,3,0,30,30,,,,,33.33333333333333,,TRIVIAL
EM_CURRENCY_STRESS + BOND_FREEZE + HOUSING_BUST,3,0,30,30,,,,,0.0,,TRIVIAL
EM_CURRENCY_STRESS + BOND_FREEZE + LABOUR_SHOCK,3,0,30,30,,,,,14.285714285714285,,TRIVIAL
EM_CURRENCY_STRESS + WAR_PROTOCOL + HOUSING_BUST,3,0,30,30,,,,,0.0,,TRIVIAL
EM_CURRENCY_STRESS + WAR_PROTOCOL + LABOUR_SHOCK,3,0,30,30,,,,,14.285714285714285,,TRIVIAL
EM_CURRENCY_STRESS + WAR_PROTOCOL + INTERBANK_STRESS,3,0,30,30,,,,,33.33333333333333,,TRIVIAL
EM_CURRENCY_STRESS + HOUSING_BUST + LABOUR_SHOCK,3,0,30,30,,,,,14.285714285714285,,TRIVIAL
EM_CURRENCY_STRESS + HOUSING_BUST + INTERBANK_STRESS,3,0,30,30,,,,,33.33333333333333,,TRIVIAL
EM_CURRENCY_STRESS + HOUSING_BUST + FLASH_MOVE,3,0,30,30,,,,,8.333333333333332,,TRIVIAL
EM_CURRENCY_STRESS + LABOUR_SHOCK + INTERBANK_STRESS,3,0,30,30,,,,,33.33333333333333,,TRIVIAL
EM_CURRENCY_STRESS + LABOUR_SHOCK + FLASH_MOVE,3,0,30,30,,,,,14.285714285714285,,TRIVIAL
